Crank angle,V,p,T,m
250.99999999999312,0.0006290173531872155,163320.32257068605,346.51826315762526,0.001032674951982818
251.09999999999312,0.0006284379721221754,163530.6615878664,346.64495614920776,0.001032674951982818
251.1999999999931,0.0006278578983107798,163741.71592176575,346.771959304501,0.001032674951982818
251.2999999999931,0.000627277132841155,163953.48829001733,346.89927329703795,0.001032674951982818
251.3999999999931,0.0006266956768064113,164165.98142320337,347.02689880225444,0.001032674951982818
251.4999999999931,0.0006261135313046506,164379.19806493085,347.1548364975076,0.001032674951982818
251.5999999999931,0.0006255306974389762,164593.14097189045,347.283087062058,0.001032674951982818
251.69999999999308,0.0006249471763174958,164807.81291393694,347.4116511770944,0.001032674951982818
251.79999999999308,0.000624362969053332,165023.2166741537,347.540529525726,0.001032674951982818
251.89999999999307,0.0006237780767646289,165239.35504893144,347.6697227930034,0.001032674951982818
251.99999999999307,0.0006231925005745591,165456.23084803368,347.79923166590953,0.001032674951982818
252.09999999999306,0.0006226062416113305,165673.8468946738,347.92905683337545,0.001032674951982818
252.19999999999305,0.0006220193010081933,165892.20602558475,348.05919898627866,0.001032674951982818
252.29999999999305,0.0006214316799034484,166111.31109109186,348.18965881744856,0.001032674951982818
252.39999999999304,0.0006208433794404526,166331.16495518872,348.3204370216754,0.001032674951982818
252.49999999999304,0.0006202544007676261,166551.77049561896,348.4515342957318,0.001032674951982818
252.59999999999303,0.0006196647450384602,166773.13060393807,348.5829513383522,0.001032674951982818
252.69999999999303,0.0006190744134115225,166995.24818559844,348.7146888502576,0.001032674951982818
252.79999999999302,0.0006184834070504658,167218.12616001273,348.84674753413736,0.001032674951982818
252.899999999993,0.0006178917271240322,167441.7674606464,348.97912809468755,0.001032674951982818
252.999999999993,0.0006172993748060614,167666.17503508244,349.11183123859274,0.001032674951982818
253.099999999993,0.0006167063512754975,167891.35184510483,349.2448576745452,0.001032674951982818
253.199999999993,0.000616112657716394,168117.30086677428,349.37820811324605,0.001032674951982818
253.299999999993,0.000615518295317922,168344.0250905084,349.51188326741647,0.001032674951982818
253.39999999999299,0.0006149232652743755,168571.52752115316,349.64588385178797,0.001032674951982818
253.49999999999298,0.0006143275687851774,168799.81117807093,349.7802105831272,0.001032674951982818
253.59999999999297,0.0006137312070548871,169028.87909521355,349.91486418022856,0.001032674951982818
253.69999999999297,0.0006131341812932053,169258.7343212067,350.04984536392885,0.001032674951982818
253.79999999999296,0.0006125364927149818,169489.37991942742,350.18515485710765,0.001032674951982818
253.89999999999296,0.0006119381425402192,169720.81896808877,350.3207933846995,0.001032674951982818
253.99999999999295,0.0006113391319940817,169953.05456032083,350.4567616736997,0.001032674951982818
254.09999999999295,0.0006107394623068988,170186.08980425057,350.5930604531656,0.001032674951982818
254.19999999999294,0.0006101391347141728,170419.92782308452,350.7296904542226,0.001032674951982818
254.29999999999293,0.0006095381504565829,170654.57175519495,350.86665241007637,0.001032674951982818
254.39999999999293,0.0006089365107799938,170890.02475419742,351.00394705600775,0.001032674951982818
254.49999999999292,0.000608334216935458,171126.2899890431,351.1415751293934,0.001032674951982818
254.59999999999292,0.0006077312701792241,171363.3706441039,351.27953736971466,0.001032674951982818
254.6999999999929,0.000607127671772741,171601.26991924626,351.41783451853934,0.001032674951982818
254.7999999999929,0.0006065234229826644,171839.99102992757,351.5564673195503,0.001032674951982818
254.8999999999929,0.0006059185250808614,172079.53720727877,351.69543651854366,0.001032674951982818
254.9999999999929,0.0006053129793444165,172319.91169819527,351.8347428634437,0.001032674951982818
255.0999999999929,0.0006047067870556366,172561.11776542067,351.974387104301,0.001032674951982818
255.19999999999288,0.0006040999495020563,172803.15868763323,352.11436999329646,0.001032674951982818
255.29999999999288,0.0006034924679764438,173046.03775953586,352.25469228475026,0.001032674951982818
255.39999999999287,0.0006028843437768053,173289.7582919511,352.3953547351403,0.001032674951982818
255.49999999999287,0.0006022755782063901,173534.32361189846,352.53635810308316,0.001032674951982818
255.59999999999286,0.000601666172573696,173779.73706269977,352.67770314937195,0.001032674951982818
255.69999999999285,0.0006010561281924744,174026.0020040606,352.8193906369633,0.001032674951982818
255.79999999999285,0.0006004454463817341,174273.1218121563,352.9614213309729,0.001032674951982818
255.89999999999284,0.0005998341284657485,174521.09987974446,353.10379599872425,0.001032674951982818
255.99999999999284,0.0005992221757740574,174769.9396162375,353.2465154097138,0.001032674951982818
256.09999999999286,0.0005986095896414732,175019.64444780248,353.3895803356315,0.001032674951982818
256.1999999999928,0.0005979963714080872,175270.21781745428,353.532991550367,0.001032674951982818
256.2999999999928,0.0005973825224192706,175521.66318515566,353.6767498300265,0.001032674951982818
256.3999999999928,0.0005967680440256812,175773.9840279017,353.8208559529188,0.001032674951982818
256.49999999999284,0.0005961529375832682,176027.18383982652,353.9653106995851,0.001032674951982818
256.5999999999928,0.0005955372044532761,176281.26613229263,354.11011485279175,0.001032674951982818
256.69999999999277,0.0005949208460022475,176536.23443399012,354.2552691975406,0.001032674951982818
256.7999999999928,0.00059430386360203,176792.0922910385,354.40077452108704,0.001032674951982818
256.8999999999928,0.0005936862586297779,177048.84326706882,354.54663161291256,0.001032674951982818
256.9999999999928,0.0005930680324679582,177306.4909433416,354.6928412647722,0.001032674951982818
257.09999999999275,0.0005924491865043542,177565.03891883366,354.8394042706756,0.001032674951982818
257.19999999999277,0.0005918297221320678,177824.4908103474,354.98632142691207,0.001032674951982818
257.2999999999928,0.0005912096407495258,178084.85025260772,355.13359353205135,0.001032674951982818
257.39999999999276,0.0005905889437604829,178346.1208983532,355.2812213869305,0.001032674951982818
257.4999999999927,0.0005899676325740236,178608.3064184523,355.42920579468785,0.001032674951982818
257.59999999999275,0.0005893457086045696,178871.41050200732,355.57754756077566,0.001032674951982818
257.69999999999277,0.0005887231732718792,179135.436856437,355.7262474929235,0.001032674951982818
257.79999999999274,0.0005881000280010555,179400.38920760734,355.8753064012014,0.001032674951982818
257.8999999999927,0.000587476274222545,179666.27129991373,356.02472509798037,0.001032674951982818
257.9999999999927,0.0005868519133721446,179933.08689640326,356.17450439797494,0.001032674951982818
258.09999999999275,0.0005862269468910036,180200.83977886892,356.32464511822684,0.001032674951982818
258.1999999999927,0.0005856013762256269,180469.5337479608,356.4751480781215,0.001032674951982818
258.2999999999927,0.0005849752028278784,180739.17262329205,356.6260140993924,0.001032674951982818
258.3999999999927,0.0005843484281549841,181009.76024354828,356.7772440061318,0.001032674951982818
258.4999999999927,0.0005837210536695353,181281.30046660083,356.92883862480693,0.001032674951982818
258.5999999999927,0.0005830930808394918,181553.79716960556,357.0807987842467,0.001032674951982818
258.69999999999266,0.0005824645111381841,181827.25424911923,357.23312531566137,0.001032674951982818
258.7999999999927,0.0005818353460443153,182101.67562121237,357.3858190526534,0.001032674951982818
258.8999999999927,0.0005812055870419684,182377.06522157445,357.53888083121507,0.001032674951982818
258.99999999999267,0.000580575235620603,182653.42700563156,357.6923114897435,0.001032674951982818
259.09999999999263,0.0005799442932750616,182930.76494865643,357.84611186904453,0.001032674951982818
259.19999999999266,0.0005793127615055709,183209.08304587976,358.00028281233455,0.001032674951982818
259.2999999999927,0.0005786806418177455,183488.38531262116,358.154825165282,0.001032674951982818
259.39999999999264,0.0005780479357225892,183768.67578437374,358.3097397759535,0.001032674951982818
259.4999999999926,0.0005774146447364964,184049.95851695168,358.4650274948839,0.001032674951982818
